Pair ID,Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
7-2-3,Type-3,Yes,Yes,Yes,No,
13-1-2,Type-3,Yes,Yes,Yes,No,
41-1-2,Type-3,Yes,Yes,Yes,Yes,
48-1-2,Type-3,Yes,Yes,Yes,Yes,
135-1-2,Type-3,compilation error,compilation error,No,Yes,
139-1-2,Type-2,Yes,Yes,Yes,Yes,
143-1-2,Type-3,Yes,Yes,Yes,Yes,
143-3-4,Type-3,compilation error,compilation error,No,Yes,
144-1-2,Type-3,Yes,Yes,Yes,Yes,
160-1-2,Type-3,Yes,Yes,Yes,Yes,
161-1-2,Type-3,compilation error,compilation error,No,Yes,
169-1-2,Type-3,Yes,Yes,Yes,Yes,GPT-4o didn't extract all the clones
182-1-2,Type-3,Yes,no test file,Yes,No,
188-3-4,Type-3,Yes,no test file,Yes,Yes,
195-2-3,Type-3,Yes,Yes,Yes,Yes,
210-1-3,Type-1,Yes,no test file,Yes,Yes,
266-1-2,Type-3,Yes,Yes,Yes,Yes,
266-1-3,Type-3,compilation error,compilation error,No,No,
266-2-3,Type-3,Yes,Yes,Yes,No,
295-1-2,Type-3,Yes,Yes,Yes,Yes,
306-1-2,Type-3,Yes,Yes,Yes,Yes,
307-2-3,Type-3,Yes,Yes,Yes,Yes,
307-4-5,Type-3,Yes,Yes,Yes,Yes,
321-1-2,Type-1,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
336-1-2,Type-3,Yes,Yes,Yes,Yes,
378-1-2,Type-3,Yes,Yes,Yes,Yes,
412-1-2,Type-3,Yes,Yes,Yes,Yes,
414-1-2,Type-3,Yes,Yes,Yes,No,
420-1-2,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
420-1-3,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
420-2-3,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
425-2-3,Type-2,Yes,Yes,Yes,Yes,
433-1-2,Type-1,Yes,Yes,Yes,Yes,
442-1-2,Type-3,Yes,test fails,No,Yes,
446-1-2,Type-2,Yes,Yes,Yes,No,
452-1-2,Type-2,Yes,Yes,Yes,Yes,
458-1-2,Type-3,Yes,Yes,Yes,Yes,
496-1-2,Type-3,Yes,Yes,Yes,Yes,
508-1-2,Type-1,Yes,Yes,Yes,Yes,
510-1-2,Type-3,Yes,Yes,Yes,Yes,
510-1-3,Type-3,Yes,Yes,Yes,Yes,
510-1-4,Type-3,Yes,Yes,Yes,No,
510-1-5,Type-3,Yes,Yes,Yes,No,
510-1-6,Type-3,Yes,Yes,Yes,No,
510-2-3,Type-3,Yes,Yes,Yes,Yes,
510-2-4,Type-3,Yes,Yes,Yes,No,
510-2-5,Type-3,compilation error,compilation error,No,No,
510-2-6,Type-3,Yes,Yes,Yes,No,
510-3-4,Type-3,Yes,Yes,Yes,No,
510-3-5,Type-3,Yes,Yes,Yes,No,
510-3-6,Type-3,Yes,Yes,Yes,No,
510-4-5,Type-3,Yes,Yes,Yes,Yes,
510-4-6,Type-1,Yes,Yes,Yes,No,
510-5-6,Type-1,Yes,Yes,Yes,No,
511-1-2,Type-1,compilation error,compilation error,No,Yes,
511-3-4,Type-1,Yes,Yes,Yes,Yes,
512-2-3,Type-3,compilation error,compilation error,No,Yes,
525-1-2,Type-2,Yes,Yes,Yes,Yes,
589-1-2,Type-3,Yes,test fails,No,Yes,
619-1-2,Type-1,Yes,Yes,Yes,No,
627-1-2,Type-3,Yes,Yes,Yes,Yes,
627-3-4,Type-2,Yes,Yes,Yes,Yes,
644-1-2,Type-3,Yes,Yes,Yes,Yes,
645-1-2,Type-3,Yes,Yes,Yes,Yes,
647-1-2,Type-2,Yes,Yes,Yes,Yes,
650-1-2,Type-3,Yes,Yes,Yes,Yes,
665-1-2,Type-3,compilation error,compilation error,No,No,
665-1-3,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
665-2-3,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
680-1-2,Type-2,Yes,Yes,Yes,Yes,
695-1-2,Type-3,Yes,Yes,Yes,Yes,
705-2-3,Type-3,compilation error,compilation error,No,Yes,
718-1-2,Type-3,Yes,Yes,Yes,Yes,
718-3-4,Type-3,Yes,Yes,Yes,Yes,
718-5-6,Type-3,Yes,Yes,Yes,Yes,
718-7-8,Type-3,Yes,Yes,Yes,Yes,
762-1-2,Type-3,wrong method extracted,wrong method extracted,wrong method extracted,No,
762-3-4,Type-3,wrong method extracted,wrong method extracted,wrong method extracted,No,
762-5-6,Type-3,wrong method extracted,wrong method extracted,wrong method extracted,No,
772-1-2,Type-3,Yes,Yes,Yes,No,
781-1-2,Type-3,Yes,Yes,Yes,Yes,
789-1-2,Type-2,Yes,Yes,Yes,Yes,
789-1-3,Type-2,Yes,Yes,Yes,Yes,
789-2-3,Type-2,Yes,Yes,Yes,Yes,
807-1-2,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
821-1-2,Type-3,Yes,Yes,Yes,Yes,
824-1-2,Type-3,Yes,no test file,Yes,Yes,
824-4-5,Type-3,Yes,Yes,Yes,Yes,
849-1-2,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
858-1-2,Type-2,Yes,Yes,Yes,Yes,
858-5-6,Type-2,Yes,Yes,Yes,No,
874-1-2,Type-3,Yes,Yes,Yes,Yes,
894-1-2,Type-2,Yes,no test file,Yes,No,
896-1-2,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
898-1-2,Type-2,compilation error,compilation error,No,No,
899-1-2,Type-2,Yes,Yes,Yes,Yes,
899-1-3,Type-3,wrong method extracted,wrong method extracted,wrong method extracted,No,
899-2-3,Type-3,wrong method extracted,wrong method extracted,wrong method extracted,No,
902-1-2,Type-3,Yes,Yes,Yes,Yes,
907-1-2,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
911-1-2,Type-2,compilation error,compilation error,No,No,
940-1-2,Type-2,Yes,Yes,Yes,Yes,
951-1-2,Type-2,Yes,Yes,Yes,Yes,
962-1-2,Type-2,Yes,Yes,Yes,No,
970-1-2,Type-2,Yes,Yes,Yes,Yes,
976-1-2,Type-2,Yes,Yes,Yes,Yes,
981-1-2,Type-2,Yes,no test file,Yes,Yes,
981-4-5,Type-2,Yes,Yes,Yes,Yes,
989-1-2,Type-2,Yes,Yes,Yes,Yes,
1011-1-2,Type-3,Yes,Yes,Yes,Yes,
1068-1-2,Type-2,compilation error,compilation error,No,Yes,
1075-1-2,Type-2,Yes,Yes,Yes,No,
1098-1-2,Type-3,Yes,Yes,Yes,No,
1099-1-2,Type-3,Yes,Yes,Yes,Yes,
1102-1-2,Type-3,Yes,Yes,Yes,Yes,
1113-1-2,Type-1,Yes,Yes,Yes,Yes,
1113-1-3,Type-1,Yes,Yes,Yes,Yes,
1113-2-3,Type-2,Yes,Yes,Yes,Yes,
1116-1-2,Type-2,Yes,Yes,Yes,Yes,
1116-1-3,Type-2,Yes,Yes,Yes,Yes,
1116-2-3,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
1118-1-2,Type-2,Yes,Yes,Yes,Yes,
1138-1-2,Type-2,Yes,Yes,Yes,Yes,
1138-3-4,Type-2,Yes,Yes,Yes,Yes,
1138-3-5,Type-2,Yes,Yes,Yes,Yes,
1138-4-5,Type-2,Yes,Yes,Yes,Yes,
1161-3-5,Type-2,Yes,Yes,Yes,Yes,
1161-9-10,Type-2,Yes,Yes,Yes,Yes,
1163-1-2,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
1164-1-2,Type-2,compilation error,compilation error,No,No,
1166-1-2,Type-2,Yes,Yes,Yes,No,
1230-1-2,Type-1,compilation error,compilation error,No,Yes,
1250-1-2,Type-2,Yes,Yes,Yes,Yes,
1250-3-4,Type-2,compilation error,compilation error,No,No,
1250-3-5,Type-2,Yes,Yes,Yes,Yes,
1250-3-6,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
1250-3-7,Type-2,Yes,Yes,Yes,Yes,
1250-3-8,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
1250-3-9,Type-2,Yes,Yes,Yes,Yes,
1250-3-10,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
1250-3-11,Type-2,Yes,Yes,Yes,Yes,
1250-3-12,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
1250-3-13,Type-2,Yes,Yes,Yes,Yes,
1254-1-2,Type-2,Yes,Yes,Yes,No,
1254-1-3,Type-2,Yes,Yes,Yes,No,
1254-1-4,Type-2,Yes,Yes,Yes,No,
1254-2-3,Type-2,Yes,Yes,Yes,No,
1254-2-4,Type-2,Yes,Yes,Yes,No,
1254-3-4,Type-2,Yes,Yes,Yes,No,
1254-5-6,Type-2,Yes,Yes,Yes,No,
1254-5-7,Type-2,Yes,Yes,Yes,No,
1254-6-7,Type-2,Yes,Yes,Yes,No,
1256-1-2,Type-2,Yes,Yes,Yes,No,
1267-2-3,Type-3,Yes,Yes,Yes,Yes,
1267-2-4,Type-2,Yes,Yes,Yes,Yes,
1267-2-5,Type-2,Yes,Yes,Yes,Yes,
1267-2-6,Type-2,Yes,Yes,Yes,Yes,
1267-3-4,Type-2,Yes,Yes,Yes,Yes,
1267-4-5,Type-3,Yes,Yes,Yes,Yes,
1267-4-6,Type-3,Yes,Yes,Yes,Yes,
1270-3-4,Type-1,Yes,Yes,Yes,Yes,
1283-1-2,Type-3,Yes,Yes,Yes,Yes,
1283-3-4,Type-3,Yes,Yes,Yes,Yes,
1294-2-3,Type-2,Yes,Yes,Yes,Yes,
1295-1-2,Type-2,Yes,Yes,Yes,Yes,
1295-3-4,Type-1,Yes,Yes,Yes,Yes,
1299-1-2,Type-3,Yes,Yes,Yes,No,
1301-3-4,Type-2,Yes,Yes,Yes,No,
1302-1-2,Type-2,Yes,Yes,Yes,Yes,
1303-1-2,Type-2,Yes,Yes,Yes,Yes,
1359-1-2,Type-2,Yes,Yes,Yes,Yes,
1383-1-2,Type-2,Yes,no test file,Yes,Yes,
